RA (J2000),Dec (J2000)
19 28 03.518,+43 58 41.84
19 38 08.278,+43 56 11.90
19 38 16.502,+43 54 01.48
19 38 23.239,+43 55 50.38
19 43 46.610,+43 55 09.62
20 01 52.668,+43 54 38.63
18 44 16.970,+44 04 07.03
18 47 01.363,+44 03 09.68
19 20 28.022,+44 03 50.11
19 21 22.018,+44 00 39.71
19 38 32.925,+44 05 56.33
19 41 59.942,+44 02 46.82
19 44 18.888,+44 01 25.28
19 57 32.102,+44 03 16.85
19 28 01.118,+44 07 20.50
19 31 25.262,+44 09 42.62
19 40 56.150,+44 06 49.18
19 53 38.606,+44 07 36.73
19 55 28.690,+44 08 11.08
20 02 31.455,+44 11 02.47
20 04 51.996,+44 11 46.36
18 52 15.881,+44 13 33.02
19 17 21.538,+44 12 47.45
19 19 20.225,+44 17 38.44
19 19 44.522,+44 17 33.18
19 22 00.158,+44 12 34.81
19 22 29.222,+44 14 10.64
19 27 44.179,+44 13 52.61
19 45 08.107,+44 15 43.09
19 56 51.946,+44 13 24.13
20 02 31.025,+44 12 28.08
18 49 42.802,+44 19 58.76
18 56 55.073,+44 22 32.16
19 00 37.077,+44 22 08.08
19 04 16.978,+44 20 52.55
19 38 43.039,+44 19 26.47
19 43 21.367,+44 19 56.53
20 00 24.223,+44 23 55.82
20 04 10.586,+44 18 48.28
20 04 50.150,+44 21 57.64
20 05 34.289,+44 20 09.78
20 05 36.588,+44 23 39.05
20 05 54.182,+44 19 11.14
20 06 01.886,+44 22 09.16
18 49 05.657,+44 24 13.75
18 59 59.136,+44 29 55.79
19 17 48.881,+44 25 25.82
19 18 23.530,+44 28 56.33
19 25 05.388,+44 29 01.86
19 29 27.883,+44 26 09.71
19 49 05.035,+44 25 58.84
19 56 37.154,+44 25 54.73
19 56 37.850,+44 25 18.23
19 57 58.234,+44 27 43.06
20 02 50.114,+44 29 48.77
20 04 42.754,+44 26 10.14
20 04 48.687,+44 24 34.81
18 56 55.226,+44 33 08.32
19 02 35.606,+44 31 36.23
19 03 50.282,+44 30 39.46
19 15 47.354,+44 30 35.64
19 18 59.494,+44 33 43.74
19 42 43.788,+44 33 27.68
19 53 40.906,+44 33 22.07
19 53 42.720,+44 35 42.65
19 55 03.778,+44 32 26.59
19 55 30.180,+44 33 05.90
19 56 19.668,+44 33 20.45
19 56 36.269,+44 35 48.95
19 57 32.472,+44 33 47.56
19 57 33.041,+44 30 26.96
19 59 49.769,+44 33 22.39
20 00 11.686,+44 35 48.01
20 01 16.320,+44 32 06.40
18 46 49.488,+44 38 04.62
18 58 32.390,+44 40 36.26
19 03 59.606,+44 38 20.78
19 04 36.161,+44 41 29.94
19 04 48.161,+44 38 51.79
19 05 12.264,+44 37 48.18
19 16 55.769,+44 41 58.02
19 28 33.456,+44 40 21.86
19 34 15.110,+44 40 00.19
19 42 30.019,+44 39 07.49
19 58 22.702,+44 36 30.02
18 54 07.349,+44 45 42.66
19 01 15.576,+44 43 34.25
19 03 53.590,+44 44 10.82
19 04 57.720,+44 47 47.18
19 18 15.319,+44 42 24.80
19 26 29.498,+44 42 37.44
19 37 00.686,+44 43 08.98
19 51 39.168,+44 44 02.54
19 53 46.918,+44 43 17.44
19 54 33.314,+44 47 25.62
19 55 51.830,+44 47 42.86
19 56 21.732,+44 42 10.76
20 00 15.578,+44 44 58.49
20 02 05.889,+44 46 27.01
20 03 42.638,+44 47 00.20
20 03 58.541,+44 42 13.90
20 06 04.055,+44 47 03.49
18 53 40.250,+44 49 15.71
19 00 08.532,+44 48 37.04
19 00 38.369,+44 53 19.36
19 01 09.070,+44 53 27.85
19 17 32.083,+44 49 33.35
19 21 23.138,+44 49 03.04
19 22 19.310,+44 52 49.10
19 32 56.100,+44 53 52.22
19 33 01.786,+44 52 56.24
19 55 59.894,+44 53 03.73
19 56 21.372,+44 52 53.87
19 56 55.877,+44 50 16.94
19 59 25.332,+44 52 31.40
20 00 00.233,+44 49 42.60
20 00 41.717,+44 51 26.14
20 02 01.975,+44 53 54.02
20 04 00.941,+44 53 08.12
18 53 51.003,+44 59 03.05
18 58 37.262,+44 55 15.24
18 58 41.198,+44 57 51.12
19 08 31.023,+44 57 50.08
19 08 58.140,+44 58 51.71
19 21 37.901,+44 57 50.18
19 24 28.839,+44 59 03.41
19 39 07.095,+44 59 24.58
19 40 12.730,+44 59 38.90
19 46 09.197,+44 59 09.82
19 51 31.198,+44 57 20.66
19 53 44.659,+44 54 52.81
19 53 46.188,+44 54 39.28
19 57 27.698,+44 55 38.78
19 57 51.663,+44 55 52.50
20 00 17.035,+44 54 19.01
20 03 58.065,+44 59 47.04
18 53 18.453,+45 04 44.90
18 59 11.263,+45 05 56.72
18 59 48.173,+45 00 32.08
19 16 44.815,+45 02 14.71
19 17 01.123,+45 03 18.76
19 27 40.829,+45 03 48.35
19 46 33.108,+45 00 47.27
19 56 19.190,+45 03 02.88
19 58 37.771,+45 03 04.57
20 03 43.588,+45 05 29.64
18 56 28.834,+45 06 30.31
18 57 12.999,+45 11 59.35
19 19 23.894,+45 10 04.55
19 24 15.365,+45 10 19.31
19 32 50.031,+45 11 18.98
19 35 32.950,+45 11 22.34
19 36 39.777,+45 10 10.56
19 37 09.754,+45 06 26.71
19 40 09.218,+45 08 41.06
19 40 52.598,+45 10 44.80
19 46 27.458,+45 06 16.24
